Actual,Predicted,Equal
transposase,SEC14familylipid-bindingprotein,False
zincribbondomain-containingprotein,CPBPfamilyintramembraneglutamicendopeptidase,False
putativehydro-lyase,YehRfamilylipoprotein,False
bifunctionaldiguanylatecyclase/phosphodiesterase,GGDEFdomain-containingprotein,False
antitoxin,TIGR02familyfamily,False
argonautefamilyprotein,MaoCfamilydehydratase,False
classIXmyosin,-family,False
E3ubiquitin-proteinligase,RINGfingerprotein,False
F-box/LRR-repeatprotein,F-boxprotein,False
metallophosphoesterasefamilyprotein,metallophosphatase,False
bifunctionalGNATfamilyN-acetyltransferase/glycosyltransferasefamily25protein,bifunctionalGNATfamilyN-acetyltransferase/(deoxy)nucleosidetriphosphatepyrophosphohydrolase,False
nucleotideexchangefactorGrpE,-family,False
TAPT1familyprotein,-family,False
adenylate/guanylatecyclasedomain-containingprotein,TIGR04219familyoutermembranebeta-barrelprotein,False
crossoverjunctionendonuclease,-family,False
degenerinfamilyprotein,electrontransferflavoprotein,False
aspartate-semialdehydedehydrogenase,-family,False
DEAD/DEAHboxhelicase,classISAM-dependentmethyltransferase,False
hemolysinfamilyprotein,flavodoxin,False
tyrosine--tRNAligase,tryptophan--tRNAligase,False
anthranilatesynthasesubunit,-family,False
thiaminepyrophosphate-dependentdehydrogenaseE1componentsubunitalpha,pyruvatedehydrogenaseE1component,False
VWAandPHdomain-containingRINGfingerprotein,pumilio/pufRNA-bindingdomain-containingprotein,False
ribonucleaseI,-family,False
FYVEzincfingerdomain-containingprotein,potassium/protonantiporter,False
serine/threonine-proteinkinase,type2lanthipeptidesynthetaseLanM,False
crotonyl-CoAcarboxylase/reductase,oligopeptideABCtransporterpermeaseOppB,False
tetraspaninfamilyprotein,YceIfamilyprotein,False
DNA-bindingtranscriptionalregulator,-family,False
xanthinephosphoribosyltransferase,-family,False
DUF4616domain-containingprotein,DUF4618domain-containingprotein,False
ablinteractor1,galactokinase,False
glycosyltransferasefamilyprotein,small-conductancemechanosensitivechannelMscS,False
DUF490domain-containingprotein,translocation/assemblymoduleTamB,False
AraCfamilytranscriptionalregulator,SANT/Myb-likeDNA-bindingdomain-containingprotein,False
DUF2115domain-containingprotein,(5-formylfuran-3-yl)methylphosphatesynthase,False
S-adenosylmethioninetRNAribosyltransferase-isomerase,D-xyloseABCtransportersubstrate-bindingprotein,False
two-componentsystemregulatoryprotein,BMS1familyprotein,False
hybridsensorhistidinekinase/responseregulator,responseregulator,False
tyrosine--tRNAligase,-family,False
chemotaxisprotein,FAD-bindingand(Fe-S)-bindingdomain-containingprotein,False
